country_name,allocated_budget,risk_score,avg_new_cases,risk_covered_per_dollar
EL SALVADOR,1000000.0,1.0,198.1829268292683,1e-06
GUADELOUPE,1000000.0,0.9862833299381341,170.8890243902439,9.86283329938134e-07
CHINA,1000000.0,0.9437182357093608,261.84123222748815,9.437182357093608e-07
FRENCH GUIANA,1000000.0,0.9319499720396537,99.73048780487805,9.319499720396537e-07
DEMOCRATIC REPUBLIC OF THE CONGO,1000000.0,0.9262476553940935,106.12439024390244,9.262476553940935e-07
COTE D IVOIRE,0.0,0.8675319990520185,99.98536585365854,0.8675319990520185
ANDORRA,0.0,0.8302198949677569,51.40853658536585,0.8302198949677569
REUNION,0.0,0.8140293645979467,495.0975609756098,0.8140293645979467
CAMEROON,0.0,0.805427432392875,146.07073170731707,0.805427432392875
ANGOLA,0.0,0.7190661888798047,120.96707317073171,0.7190661888798047
