date,projected_bed_demand,baseline_capacity,capacity_gap
2022-05-15,103.06453753696393,1200,-1096.9354624630362
2022-05-16,204.9446062709363,1200,-995.0553937290637
2022-05-17,314.05564913782143,1200,-885.9443508621786
2022-05-18,421.9416915995225,1200,-778.0583084004775
2022-05-19,523.0833942910597,1200,-676.9166057089403
2022-05-20,630.5000380653678,1200,-569.4999619346322
2022-05-21,742.3793857641995,1200,-457.62061423580053
2022-05-22,846.8687194588092,1200,-353.1312805411908
2022-05-23,847.2507216415602,1200,-352.7492783584398
2022-05-24,856.4760249996591,1200,-343.5239750003409
2022-05-25,856.0448650815741,1200,-343.95513491842587
2022-05-26,850.4348161066209,1200,-349.56518389337907
2022-05-27,856.7004595715804,1200,-343.2995404284196
2022-05-28,860.6513168332168,1200,-339.3486831667832
2022-05-29,853.4201559256493,1200,-346.5798440743507
2022-05-30,852.6841448243381,1200,-347.3158551756619
2022-05-31,859.9067466155287,1200,-340.09325338447127
2022-06-01,857.3081657933965,1200,-342.6918342066035
2022-06-02,851.3709444517716,1200,-348.6290555482284
2022-06-03,856.4639619223866,1200,-343.5360380776134
2022-06-04,859.9918386798265,1200,-340.0081613201735
2022-06-05,853.505405017618,1200,-346.49459498238195
2022-06-06,852.9313134693343,1200,-347.0686865306657
2022-06-07,859.4821828226287,1200,-340.5178171773713
2022-06-08,857.1688111728118,1200,-342.83118882718816
2022-06-09,851.8250419805117,1200,-348.17495801948826
2022-06-10,856.4134203362554,1200,-343.5865796637446
2022-06-11,859.5881149378356,1200,-340.4118850621644
2022-06-12,853.7423926780432,1200,-346.2576073219568
2022-06-13,853.224020732006,1200,-346.775979267994
